machine_id,time_stamp,cpu_util,memory_util
079,250370,21.0,92
079,250390,22.0,92
079,250510,22.0,93
079,250600,24.0,93
079,250620,37.0,94
079,250710,18.0,93
079,250860,24.0,92
079,250920,14.0,92
079,251060,16.0,92
079,251110,22.0,93
079,251140,21.0,93
079,251340,15.0,91
079,251440,23.0,93
079,251830,18.0,94
079,251850,24.0,95
079,251900,21.0,97
079,251970,19.0,95
079,252000,17.0,95
079,252120,20.0,97
079,252300,22.0,96
079,252310,21.0,96
079,252330,18.0,94
079,252380,18.0,94
079,252570,15.0,91
079,252700,10.0,91
079,252810,10.0,91
079,252890,7.0,90
079,253010,12.0,92
079,253080,12.0,91
079,253100,16.0,92
079,253250,15.0,92
079,253330,26.0,93
079,253360,21.0,93
079,253400,20.0,93
079,253420,18.0,93
079,253670,18.0,93
079,253700,18.0,92
079,253730,16.0,92
079,253780,13.0,93
079,253840,23.0,94
079,253980,14.0,93
079,254170,15.0,92
079,254180,14.0,92
079,254250,16.0,93
079,254520,14.0,93
079,254680,21.0,94
079,254720,19.0,94
079,255040,18.0,93
079,255100,14.0,93
079,255130,12.0,93
079,255250,14.0,93
079,255320,13.0,93
079,255470,9.0,92
079,255530,14.0,92
079,255770,25.0,96
079,255890,27.0,95
079,255970,30.0,97
079,256120,23.0,96
079,256150,25.0,96
079,256360,16.0,93
079,256460,13.0,91
079,256490,30.0,91
079,256510,28.0,91
079,256520,27.0,91
079,256840,19.0,92
079,256870,23.0,93
079,256940,20.0,93
079,256990,22.0,94
079,257030,14.0,93
079,257090,16.0,94
079,257210,15.0,93
079,257230,13.0,93
079,257250,14.0,93
079,257280,10.0,92
079,257290,10.0,92
079,257430,19.0,93
079,257600,29.0,93
079,257640,17.0,93
079,257820,14.0,94
079,257840,18.0,94
079,257870,26.0,94
079,257940,13.0,94
079,257950,14.0,94
079,258100,12.0,93
079,258250,12.0,94
079,258480,13.0,94
079,258490,13.0,94
079,258520,14.0,93
079,258700,16.0,94
079,258770,17.0,95
079,258870,21.0,97
079,258940,14.0,94
079,259060,18.0,96
079,259080,19.0,96
079,259170,18.0,97
080,172830,39.0,90
080,172840,40.0,90
080,172950,41.0,92
080,173130,34.0,89
080,173180,42.0,91
080,173240,39.0,93
080,173430,42.0,85
080,173780,47.0,87
080,173870,47.0,86
080,174040,57.0,89
080,174220,36.0,85
080,174370,40.0,84
080,174390,38.0,85
080,174400,40.0,86
080,174410,39.0,87
080,174680,37.0,89
080,174710,35.0,89
080,174920,29.0,85
080,175100,36.0,82
080,175120,34.0,82
080,175130,26.0,82
080,175140,25.0,82
080,175180,28.0,82
080,175210,32.0,82
080,175300,23.0,80
080,175350,25.0,81
080,175500,29.0,84
080,175510,32.0,83
080,175590,32.0,82
080,175630,31.0,82
080,175640,31.0,82
080,175680,36.0,83
080,175690,37.0,83
080,175730,38.0,84
080,175760,35.0,83
080,175850,33.0,83
080,175940,34.0,83
080,176070,29.0,82
080,176270,28.0,81
080,176410,30.0,83
080,176420,26.0,83
080,176620,42.0,89
080,176760,32.0,90
080,176820,28.0,89
080,176890,30.0,89
080,177010,34.0,89
080,177060,34.0,86
080,177160,31.0,86
080,177220,29.0,85
080,177270,38.0,86
080,177320,34.0,85
080,177370,36.0,85
080,177390,36.0,86
080,177400,34.0,85
080,177420,28.0,85
080,177460,31.0,86
080,177480,36.0,85
080,177540,40.0,87
080,177850,41.0,87
080,177960,40.0,84
080,178010,41.0,85
080,178170,42.0,86
080,178280,43.0,86
080,178440,36.0,88
080,178450,42.0,89
080,178500,31.0,88
080,178520,33.0,88
080,178590,31.0,87
080,178610,32.0,88
080,178630,34.0,88
080,178640,42.0,87
080,178710,39.0,89
080,178740,40.0,90
080,178900,38.0,88
080,178970,41.0,89
080,179040,31.0,88
080,179090,33.0,89
080,179130,35.0,89
080,179200,30.0,88
080,179210,28.0,88
080,179220,29.0,88
080,179240,30.0,88
080,179290,28.0,88
080,179350,32.0,88
080,179640,47.0,86
080,179660,26.0,85
080,179690,25.0,83
080,179750,28.0,84
080,179780,28.0,83
080,179920,40.0,85
080,180060,41.0,87
080,180130,41.0,86
080,180240,35.0,87
080,180400,32.0,85
080,180510,38.0,87
080,180590,38.0,89
080,180630,41.0,91
080,180680,38.0,91
080,180760,45.0,91
080,180800,41.0,89
080,180820,41.0,90
080,180850,36.0,87
080,181010,33.0,86
080,181290,28.0,83
080,181310,26.0,84
080,181560,43.0,86
080,181580,31.0,85
080,181700,32.0,86
080,181790,37.0,86
080,181980,36.0,86
080,182260,29.0,87
080,182300,28.0,88
080,182310,28.0,88
080,182320,27.0,88
080,182340,29.0,88
080,182430,37.0,86
080,182490,34.0,87
080,182530,34.0,87
080,182560,33.0,86
080,182570,35.0,86
080,182690,35.0,89
080,182870,30.0,88
080,182930,29.0,86
080,183070,36.0,86
080,183120,27.0,86
080,183670,40.0,90
080,183730,39.0,92
080,183940,42.0,91
080,184030,44.0,91
080,184050,41.0,90
080,184150,33.0,87
080,184200,40.0,88
080,184270,40.0,83
080,184400,44.0,85
080,184590,44.0,87
080,184650,35.0,86
080,184680,34.0,86
080,184790,27.0,86
080,184800,27.0,87
080,184810,28.0,86
080,184820,25.0,85
080,184900,28.0,86
080,185310,29.0,89
080,185390,25.0,84
080,185410,27.0,83
080,185450,28.0,85
080,185490,26.0,86
080,185570,22.0,86
080,185710,37.0,87
080,185730,31.0,86
080,186300,28.0,85
080,186310,27.0,84
080,186330,23.0,84
080,186450,62.0,96
080,186460,63.0,96
080,186630,36.0,84
080,186810,28.0,81
080,186880,24.0,81
080,186980,29.0,83
080,187140,37.0,86
080,187220,36.0,85
080,187350,28.0,85
080,187510,35.0,85
080,187520,38.0,85
080,187660,33.0,85
080,187920,37.0,85
080,187940,41.0,87
080,188030,41.0,89
080,188040,42.0,89
080,188080,41.0,88
080,188120,41.0,89
080,188180,39.0,87
080,188190,36.0,87
080,188210,37.0,86
080,188300,44.0,85
080,188310,41.0,84
080,188330,41.0,84
080,188370,43.0,85
080,188480,45.0,89
080,188650,41.0,92
080,188830,44.0,92
080,188960,38.0,90
080,189210,32.0,83
080,189280,40.0,88
080,189290,40.0,88
080,189350,34.0,88
080,189890,31.0,86
080,190050,42.0,85
080,190100,42.0,84
080,190150,39.0,83
080,190250,28.0,84
080,190320,33.0,85
080,190450,28.0,83
080,190510,39.0,83
080,190530,23.0,81
080,190540,34.0,81
080,190550,43.0,83
080,190600,40.0,84
080,190650,42.0,84
080,190990,60.0,92
080,191070,50.0,91
080,191100,50.0,90
080,191200,45.0,87
080,191320,59.0,86
080,191470,53.0,85
080,191850,54.0,86
080,191870,40.0,84
080,191930,42.0,84
080,192010,42.0,84
080,192030,41.0,84
080,192160,32.0,82
080,192190,29.0,82
080,192210,31.0,83
080,192560,36.0,87
080,192640,34.0,86
080,192660,30.0,86
080,192740,37.0,86
080,192770,39.0,87
080,192780,37.0,87
080,192880,34.0,86
080,192940,33.0,87
080,192970,39.0,88
080,193010,40.0,88
080,193040,49.0,89
080,193280,26.0,86
080,193470,46.0,87
080,193570,40.0,86
080,193680,43.0,88
080,193860,45.0,88
080,194020,47.0,91
080,194060,48.0,91
080,194140,44.0,91
080,194180,40.0,89
080,194320,47.0,91
080,194440,50.0,90
080,194470,58.0,91
080,194490,52.0,91
080,194520,52.0,91
080,194590,54.0,91
080,194710,64.0,94
080,194910,64.0,92
080,195020,61.0,95
080,195220,52.0,89
080,195280,48.0,87
080,195400,52.0,86
080,195560,46.0,87
080,195670,50.0,89
080,195740,61.0,90
080,195750,62.0,90
080,195910,62.0,87
080,195940,64.0,87
080,196220,80.0,92
080,196240,81.0,93
080,196390,80.0,93
080,196460,79.0,90
080,196470,80.0,90
080,196540,71.0,88
080,196580,74.0,88
080,196610,65.0,88
080,196660,55.0,87
080,196810,60.0,90
080,196870,67.0,89
080,196880,67.0,89
080,197010,79.0,95
080,197140,82.0,97
080,197200,77.0,94
080,197290,73.0,92
080,197310,80.0,93
080,197330,70.0,93
080,197390,69.0,94
080,197440,54.0,94
080,197800,57.0,92
080,197990,57.0,91
080,198030,54.0,90
080,198040,57.0,90
080,198100,62.0,89
080,198170,59.0,90
080,198390,53.0,89
080,198430,55.0,89
080,198590,49.0,88
080,198600,50.0,89
080,198670,52.0,89
080,198730,50.0,89
080,198920,54.0,90
080,199010,54.0,90
080,199080,56.0,93
080,199230,52.0,89
080,199350,41.0,87
080,199370,40.0,86
080,199550,50.0,89
080,199590,49.0,86
080,199660,40.0,86
080,199730,39.0,87
080,199740,41.0,87
080,199810,48.0,87
080,199840,51.0,88
080,200430,44.0,85
080,200600,37.0,85
080,200630,39.0,84
080,200660,44.0,85
080,200810,45.0,85
080,200870,44.0,85
080,200910,40.0,84
080,200940,40.0,85
080,201090,52.0,87
080,201110,43.0,85
