machine_id,time_stamp,cpu_util,memory_util,megps,mkpi,in_net,out_net,disk_io
2079,189060,30.0,92,-1.11,-1.11,35.94,25.25,4
2079,189170,28.0,91,-1.11,-1.11,35.94,25.25,9
2079,189250,28.0,91,-1.11,-1.11,35.94,25.25,5
2079,189370,52.0,91,-1.11,-1.11,35.94,25.25,6
2079,189710,34.0,92,-1.11,-1.11,35.95,25.26,5
2079,189850,31.0,91,-1.11,-1.11,35.95,25.26,5
2079,189870,28.0,90,-1.11,-1.11,35.95,25.26,5
2079,189910,38.0,90,-1.11,-1.11,35.95,25.26,2
2079,189930,34.0,89,-1.11,-1.11,35.95,25.26,2
2079,189960,29.0,91,-1.11,-1.11,35.96,25.26,3
2079,189980,30.0,91,-1.11,-1.11,35.96,25.26,3
2079,190010,34.0,90,-1.11,-1.11,35.96,25.26,3
2079,190030,31.0,90,-1.11,-1.11,35.96,25.26,3
2079,190140,30.0,91,-1.11,-1.11,35.96,25.26,3
2079,190370,28.0,91,-1.11,-1.11,35.96,25.26,3
2079,190430,22.0,90,-1.11,-1.11,35.96,25.26,3
2079,190540,29.0,88,-1.11,-1.11,35.96,25.26,3
2079,190580,22.0,89,-1.11,-1.11,35.96,25.26,6
2079,190620,22.0,89,-1.11,-1.11,35.97,25.27,6
2079,190660,21.0,89,-1.11,-1.11,35.97,25.27,6
2079,190670,23.0,89,-1.11,-1.11,35.97,25.27,6
2079,190810,26.0,90,-1.11,-1.11,35.97,25.27,12
2079,190980,54.0,93,-1.11,-1.11,35.97,25.27,4
2079,191050,47.0,92,-1.11,-1.11,35.97,25.27,4
2079,191540,25.0,88,-1.11,-1.11,35.99,25.27,9
2079,191550,26.0,88,-1.11,-1.11,35.99,25.27,9
2079,191640,36.0,90,-1.11,-1.11,35.99,25.27,9
2079,191710,43.0,90,-1.11,-1.11,35.99,25.28,12
2079,191850,28.0,87,-1.11,-1.11,35.99,25.28,11
2079,191900,26.0,87,-1.11,-1.11,35.99,25.28,10
2079,191910,25.0,86,-1.11,-1.11,35.99,25.28,10
2079,191920,24.0,86,-1.11,-1.11,35.99,25.28,10
2079,191950,26.0,86,-1.11,-1.11,35.99,25.28,9
2079,192010,25.0,86,-1.11,-1.11,35.99,25.28,8
2079,192020,28.0,86,-1.11,-1.11,35.99,25.28,8
2079,192290,33.0,91,-1.11,-1.11,36.0,25.28,8
2079,192320,37.0,89,-1.11,-1.11,36.0,25.28,4
2079,192380,32.0,90,-1.11,-1.11,36.0,25.28,8
2079,192390,34.0,90,-1.11,-1.11,36.0,25.28,8
2079,192500,31.0,92,-1.11,-1.11,36.0,25.28,5
2079,192590,25.0,89,-1.11,-1.11,36.0,25.28,3
2079,192630,30.0,90,-1.11,-1.11,36.0,25.29,3
2079,192660,28.0,89,-1.11,-1.11,36.0,25.29,4
2079,192970,42.0,92,-1.11,-1.11,36.01,25.29,4
2079,193000,40.0,92,-1.11,-1.11,36.01,25.29,4
2079,193100,43.0,92,-1.11,-1.11,36.01,25.29,4
2079,193210,43.0,93,-1.11,-1.11,36.01,25.29,8
2079,193290,39.0,91,-1.11,-1.11,36.02,25.29,5
2079,193330,34.0,86,-1.11,-1.11,36.02,25.29,6
2079,193390,45.0,87,-1.11,-1.11,36.02,25.29,3
2079,193830,40.0,91,-1.11,-1.11,36.03,25.3,4
2079,193900,45.0,92,-1.11,-1.11,36.03,25.3,6
2079,194120,44.0,91,-1.11,-1.11,36.04,25.3,6
2079,194280,47.0,92,-1.11,-1.11,36.04,25.3,6
2079,194860,53.0,94,-1.11,-1.11,36.06,25.31,11
2079,195200,50.0,93,-1.11,-1.11,36.06,25.32,19
2079,195280,54.0,94,-1.11,-1.11,36.07,25.32,3
2079,195300,46.0,91,-1.11,-1.11,36.07,25.32,13
2079,195360,47.0,89,-1.11,-1.11,36.07,25.32,10
2079,195430,52.0,89,-1.11,-1.11,36.07,25.32,13
2079,195470,40.0,89,-1.11,-1.11,36.07,25.32,13
2079,195530,42.0,88,-1.11,-1.11,36.07,25.32,14
2079,195550,46.0,89,-1.11,-1.11,36.07,25.32,6
2079,195620,46.0,92,-1.11,-1.11,36.07,25.32,15
2079,195650,55.0,91,-1.11,-1.11,36.07,25.32,15
2079,195780,60.0,93,-1.11,-1.11,36.08,25.33,18
2079,196010,73.0,92,-1.11,-1.11,36.09,25.33,13
2079,196030,77.0,93,-1.11,-1.11,36.09,25.33,13
2079,196050,84.0,93,-1.11,-1.11,36.09,25.33,13
2079,196080,78.0,93,-1.11,-1.11,36.09,25.33,18
2079,196100,79.0,93,-1.11,-1.11,36.09,25.33,18
2079,196440,74.0,91,-1.11,-1.11,36.11,25.34,12
2079,196500,71.0,91,-1.11,-1.11,36.11,25.34,4
2079,196580,53.0,89,-1.11,-1.11,36.12,25.34,4
2079,196850,55.0,92,-1.11,-1.11,36.12,25.34,12
