time_stamp,machine_id,cpu_util,memory_util
238380,2096,29.0,96
238430,2096,27.0,95
238480,2096,20.0,95
238630,2096,37.0,97
238710,2096,30.0,94
238730,2096,25.0,95
238750,2096,30.0,95
238780,2096,23.0,95
238840,2096,38.0,97
238890,2096,24.0,97
238920,2096,26.0,95
239060,2096,20.0,96
239090,2096,23.0,95
239140,2096,27.0,96
239290,2096,23.0,95
239490,2096,18.0,96
239500,2096,30.0,96
239640,2096,18.0,95
239880,2096,14.0,95
239910,2096,18.0,95
240040,2096,22.0,95
240060,2096,28.0,95
240200,2096,17.0,95
240510,2096,16.0,96
240550,2096,33.0,97
240620,2096,25.0,96
240740,2096,30.0,95
240750,2096,19.0,95
240830,2096,29.0,96
240840,2096,28.0,96
240870,2096,25.0,96
240950,2096,24.0,97
240990,2096,31.0,96
241110,2096,26.0,96
241230,2096,32.0,97
241250,2096,33.0,98
241270,2096,28.0,97
241320,2096,35.0,97
241420,2096,31.0,97
241680,2096,30.0,92
241970,2096,29.0,90
242030,2096,33.0,90
242040,2096,32.0,90
242080,2096,27.0,91
242170,2096,31.0,89
242250,2096,18.0,90
242280,2096,22.0,89
242290,2096,24.0,88
242430,2096,20.0,89
242490,2096,19.0,88
242530,2096,20.0,88
242620,2096,29.0,89
242780,2096,23.0,90
243140,2096,29.0,91
243290,2096,27.0,90
243330,2096,21.0,90
243410,2096,36.0,91
243530,2096,24.0,90
243600,2096,18.0,86
243610,2096,26.0,86
243920,2096,29.0,88
244000,2096,32.0,88
244040,2096,33.0,88
244060,2096,39.0,89
244300,2096,34.0,89
244410,2096,40.0,93
244500,2096,33.0,92
244530,2096,32.0,92
244570,2096,34.0,91
244620,2096,32.0,92
244760,2096,28.0,90
244890,2096,56.0,91
244970,2096,32.0,93
245160,2096,33.0,91
245260,2096,47.0,89
245300,2096,44.0,88
245530,2096,50.0,90
245690,2096,49.0,91
245810,2096,50.0,91
245970,2096,36.0,90
246060,2096,45.0,91
246260,2096,30.0,91
246690,2096,32.0,92
246700,2096,43.0,92
246770,2096,33.0,91
246820,2096,31.0,91
246870,2096,28.0,89
246990,2096,25.0,90
247120,2096,31.0,91
247180,2096,32.0,92
247190,2096,33.0,93
247230,2096,34.0,93
247330,2096,42.0,94
247340,2096,38.0,94
247400,2096,35.0,94
247410,2096,36.0,94
247460,2096,37.0,95
247670,2096,37.0,94
247710,2096,29.0,92
247750,2096,36.0,93
247780,2096,31.0,93
247970,2096,31.0,93
248000,2096,37.0,94
248060,2096,30.0,93
248480,2096,33.0,95
248520,2096,35.0,95
248530,2096,37.0,95
248570,2096,40.0,95
248580,2096,45.0,95
248700,2096,49.0,98
248710,2096,55.0,97
248720,2096,49.0,96
248750,2096,52.0,97
248850,2096,36.0,96
248860,2096,38.0,95
248950,2096,38.0,95
248990,2096,41.0,94
249090,2096,28.0,93
249280,2096,45.0,95
249370,2096,53.0,94
249430,2096,40.0,95
249670,2096,38.0,96
249690,2096,35.0,96
249750,2096,35.0,96
249840,2096,32.0,97
249850,2096,36.0,97
249870,2096,34.0,98
250050,2096,25.0,95
250070,2096,25.0,94
250110,2096,33.0,96
250190,2096,36.0,95
250270,2096,40.0,97
250290,2096,47.0,97
250320,2096,73.0,96
250510,2096,38.0,95
250940,2096,31.0,94
250980,2096,26.0,94
251020,2096,26.0,94
251080,2096,35.0,96
251170,2096,30.0,95
251310,2096,23.0,94
251430,2096,33.0,96
251480,2096,34.0,96
251610,2096,32.0,96
251650,2096,34.0,97
251710,2096,36.0,97
251740,2096,36.0,96
251760,2096,30.0,96
251820,2096,27.0,95
251930,2096,31.0,96
251980,2096,34.0,97
252160,2096,40.0,96
252270,2096,41.0,95
252340,2096,35.0,94
252540,2096,32.0,93
252640,2096,34.0,89
252660,2096,31.0,90
252680,2096,36.0,91
252690,2096,32.0,91
252750,2096,25.0,91
252900,2096,21.0,90
252980,2096,29.0,91
253030,2096,35.0,91
253040,2096,27.0,90
253110,2096,32.0,92
253200,2096,27.0,92
253260,2096,33.0,91
253300,2096,42.0,92
253700,2096,27.0,91
253730,2096,22.0,91
253880,2096,20.0,92
253900,2096,27.0,92
254020,2096,21.0,92
254030,2096,22.0,92
254090,2096,28.0,92
254110,2096,31.0,92
254120,2096,42.0,92
254230,2096,24.0,91
254240,2096,23.0,91
254250,2096,24.0,91
254280,2096,22.0,91
254340,2096,24.0,93
254370,2096,26.0,94
254470,2096,27.0,93
254550,2096,19.0,92
254650,2096,31.0,92
254780,2096,24.0,92
254800,2096,25.0,92
254850,2096,21.0,91
255020,2096,18.0,91
255090,2096,14.0,90
255250,2096,33.0,91
255270,2096,22.0,91
255320,2096,19.0,91
255400,2096,16.0,91
255440,2096,18.0,91
255560,2096,24.0,93
255580,2096,22.0,92
255710,2096,42.0,93
255810,2096,36.0,94
255840,2096,40.0,94
255890,2096,81.0,95
255990,2096,46.0,97
256080,2096,31.0,96
256090,2096,37.0,96
256100,2096,37.0,97
256380,2096,31.0,95
256400,2096,32.0,95
256410,2096,30.0,95
256430,2096,24.0,95
256460,2096,25.0,94
257010,2096,30.0,93
257030,2096,27.0,93
257120,2096,30.0,93
257130,2096,27.0,93
257140,2096,29.0,93
257230,2096,27.0,92
257380,2096,29.0,92
257470,2096,33.0,93
257590,2096,28.0,92
257760,2096,23.0,92
257840,2096,27.0,92
257900,2096,24.0,92
257950,2096,29.0,93
257990,2096,23.0,92
258000,2096,25.0,92
258050,2096,30.0,93
258070,2096,30.0,93
258210,2096,26.0,94
258220,2096,28.0,95
258240,2096,25.0,95
258260,2096,23.0,94
258360,2096,26.0,93
258400,2096,24.0,94
258430,2096,29.0,94
258510,2096,22.0,94
258530,2096,24.0,94
258650,2096,33.0,93
258730,2096,25.0,92
258740,2096,23.0,92
258900,2096,23.0,93
259170,2096,27.0,96
172840,2097,39.0,89
172900,2097,38.0,89
172940,2097,45.0,91
173050,2097,38.0,91
173110,2097,36.0,90
173180,2097,42.0,93
173240,2097,43.0,90
173510,2097,42.0,89
173570,2097,47.0,84
173630,2097,37.0,85
173680,2097,41.0,86
173840,2097,41.0,87
173890,2097,39.0,87
173940,2097,38.0,86
173950,2097,42.0,86
173990,2097,52.0,88
174090,2097,52.0,88
174280,2097,38.0,86
174370,2097,43.0,88
174450,2097,47.0,90
174460,2097,45.0,90
174520,2097,52.0,89
174610,2097,42.0,90
174630,2097,40.0,91
174710,2097,39.0,90
174720,2097,38.0,90
174820,2097,37.0,88
174970,2097,37.0,84
175000,2097,42.0,84
175270,2097,32.0,83
175300,2097,30.0,83
175460,2097,45.0,86
175480,2097,42.0,86
175570,2097,37.0,87
175610,2097,37.0,86
175690,2097,36.0,86
175760,2097,34.0,85
175770,2097,33.0,85
175840,2097,37.0,84
175980,2097,35.0,82
175990,2097,34.0,82
176070,2097,31.0,82
176150,2097,37.0,83
